"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (GMT)"
"*067yz*",2,5,18,"F","Matheus Santos Carneiro Da Cunha","MUN","FPL Loyalists","Aug 13, 2025 7:07:39"
"*05r8o*",2,6,19,"F","Jean-Philippe Mateta","CRY","Chicken Tikka MoSalah","Aug 13, 2025 7:08:32"
"*068y0*",2,7,20,"F","Antoine Semenyo","BOU","Texas Chainshaw Massacre","Aug 13, 2025 7:08:38"
"*06rf9*",2,8,21,"F","Omar Khaled Mohamed Abd Elsala Marmoush","MCI","Book Ake","Aug 13, 2025 7:08:48"
"*04mdn*",2,9,22,"M","Anthony Gordon","NEW","Me,Myself,Ndiaye","Aug 13, 2025 7:09:14"
"*06p6j*",2,10,23,"F","Francisco Evanilson de Lima Barbosa","BOU","Ugarte roll with it","Aug 13, 2025 7:09:35"
"*05trb*",2,11,24,"F","Bryan Mbeumo","MUN","Bryan MBeumboclaat","Aug 13, 2025 7:09:42"
"*05uht*",2,12,25,"M","Morgan Rogers","AVL","Infantino Milan","Aug 13, 2025 7:10:29"
"*05r9b*",2,13,26,"M","Martin Odegaard","ARS","I’m a Baleba","Aug 13, 2025 7:11:06"
"*06zbz*",3,1,27,"F","Hugo Ekitiké","LIV","I’m a Baleba","Aug 13, 2025 7:11:48"
"*05ogb*",3,2,28,"F","Anthony Elanga","NEW","Infantino Milan","Aug 13, 2025 7:12:21"
"*05nt6*",3,3,29,"M","Eberechi Eze","CRY","Bryan MBeumboclaat","Aug 13, 2025 7:12:49"
"*061ya*",3,4,30,"F","Brennan Johnson","TOT","Ugarte roll with it","Aug 13, 2025 7:13:05"
"*06mow*",3,5,31,"F","Jorgen Strand Larsen","WOL","Me,Myself,Ndiaye","Aug 13, 2025 7:13:35"
"*06v05*",3,6,32,"D","Jeremie Frimpong","LIV","Book Ake","Aug 13, 2025 7:13:52"
"*04mi4*",3,7,33,"F","Callum Hudson-Odoi","NOT","Texas Chainshaw Massacre","Aug 13, 2025 7:14:08"
"*067yv*",3,8,34,"F","Cody Gakpo","LIV","Chicken Tikka MoSalah","Aug 13, 2025 7:14:54"
"*05uor*",3,9,35,"F","Yoane Wissa","BRF","FPL Loyalists","Aug 13, 2025 7:15:31"
"*032f9*",3,10,36,"G","Jordan Pickford","EVE","ESRs EDL for FPL","Aug 13, 2025 7:16:29"
"*06ex4*",3,11,37,"D","Josko Gvardiol","MCI","Iwobi Wan-Kenobi","Aug 13, 2025 7:16:37"
"*04agz*",3,12,38,"M","Declan Rice","ARS","Ekitiki-taka","Aug 13, 2025 7:16:55"
"*04ge7*",3,13,39,"F","Donyell Malen","AVL","Haile Senesi","Aug 13, 2025 7:17:42"
"*06cmm*",4,1,40,"M","Dominik Szoboszlai","LIV","Haile Senesi","Aug 13, 2025 7:18:41"
"*05n07*",4,2,41,"D","Pedro Porro","TOT","Ekitiki-taka","Aug 13, 2025 7:18:54"
"*045ob*",4,3,42,"G","Caoimhin Kelleher","BRF","Iwobi Wan-Kenobi","Aug 13, 2025 7:19:03"
"*05a6e*",4,4,43,"D","Neco Williams","NOT","ESRs EDL for FPL","Aug 13, 2025 7:19:32"
"*05os4*",4,5,44,"D","Rayan Ait-Nouri","MCI","FPL Loyalists","Aug 13, 2025 7:20:27"
"*05nzu*",4,6,45,"D","Gabriel dos Santos Magalhaes","ARS","Chicken Tikka MoSalah","Aug 13, 2025 7:20:38"
"*05748*",4,7,46,"M","Ismaila Sarr","CRY","Texas Chainshaw Massacre","Aug 13, 2025 7:20:43"
"*04qr9*",4,8,47,"M","Morgan Gibbs-White","NOT","Book Ake","Aug 13, 2025 7:21:05"
"*0558w*",4,9,48,"D","William Saliba","ARS","Me,Myself,Ndiaye","Aug 13, 2025 7:21:15"
"*06mw0*",4,10,49,"D","Nikola Milenkovic","NOT","Ugarte roll with it","Aug 13, 2025 7:21:36"
"*056iy*",4,11,50,"F","Pedro Lomba Neto","CHE","Bryan MBeumboclaat","Aug 13, 2025 7:21:50"
"*04adp*",4,12,51,"D","Aaron Wan-Bissaka","WHU","Infantino Milan","Aug 13, 2025 7:21:55"
"*06fv8*",4,13,52,"M","Mohammed Kudus","TOT","I’m a Baleba","Aug 13, 2025 7:22:29"
"*05tqx*",5,1,53,"G","David Raya","ARS","I’m a Baleba","Aug 13, 2025 7:23:24"
"*062ci*",5,2,54,"M","Kaoru Mitoma","BHA","Infantino Milan","Aug 13, 2025 7:23:50"
"*06do9*",5,3,55,"D","Milos Kerkez","LIV","Bryan MBeumboclaat","Aug 13, 2025 7:24:14"
"*05u7f*",5,4,56,"D","Ibrahima Konate","LIV","Ugarte roll with it","Aug 13, 2025 7:24:33"
"*04qrc*",5,5,57,"F","Raul Jimenez","FUL","Me,Myself,Ndiaye","Aug 13, 2025 7:24:44"
"*05w9i*",5,6,58,"D","Marc Cucurella","CHE","Book Ake","Aug 13, 2025 7:25:03"
"*06o2t*",5,7,59,"F","Niclas Füllkrug","WHU","Texas Chainshaw Massacre","Aug 13, 2025 7:25:30"
"*04sjt*",5,8,60,"G","Alisson Ramses Becker","LIV","Chicken Tikka MoSalah","Aug 13, 2025 7:26:26"
"*04fk5*",5,9,61,"G","Ederson Santana de Moraes","MCI","FPL Loyalists","Aug 13, 2025 7:27:20"
"*05u1m*",5,10,62,"D","Nathan Collins","BRF","ESRs EDL for FPL","Aug 13, 2025 7:27:39"
"*038ze*",5,11,63,"M","Alex Iwobi","FUL","Iwobi Wan-Kenobi","Aug 13, 2025 7:27:55"
"*05s08*",5,12,64,"D","Valentino Livramento","NEW","Ekitiki-taka","Aug 13, 2025 7:28:32"
"*04yo7*",5,13,65,"M","Youri Tielemans","AVL","Haile Senesi","Aug 13, 2025 7:29:23"
"*04abn*",6,1,66,"M","Harvey Barnes","NEW","Haile Senesi","Aug 13, 2025 7:29:38"
"*03fgo*",6,2,67,"F","Dominic Solanke","TOT","Ekitiki-taka","Aug 13, 2025 7:29:50"
"*05r34*",6,3,68,"M","Amad Diallo","MUN","Iwobi Wan-Kenobi","Aug 13, 2025 7:30:00"
"*05r94*",6,4,69,"M","Iliman Ndiaye","EVE","ESRs EDL for FPL","Aug 13, 2025 7:30:15"
"*05ylx*",6,5,70,"M","Dejan Kulusevski","TOT","FPL Loyalists","Aug 13, 2025 7:30:56"
"*06v07*",6,6,71,"M","Rayan Cherki","MCI","Chicken Tikka MoSalah","Aug 13, 2025 7:31:42"
"*05l27*",6,7,72,"D","Jarrad Branthwaite","EVE","Texas Chainshaw Massacre","Aug 13, 2025 7:31:47"
"*044ei*",6,8,73,"G","Nick Pope","NEW","Book Ake","Aug 13, 2025 7:32:14"
"*02lm7*",6,9,74,"M","Jack Grealish","EVE","Me,Myself,Ndiaye","Aug 13, 2025 7:32:20"
"*06clt*",6,10,75,"M","Justin Kluivert","BOU","Ugarte roll with it","Aug 13, 2025 7:32:57"
"*03rzp*",6,11,76,"D","Antonee Robinson","FUL","Bryan MBeumboclaat","Aug 13, 2025 7:33:03"
"*0689w*",6,12,77,"F","Georginio Rutter","BHA","Infantino Milan","Aug 13, 2025 7:33:41"
"*051k7*",6,13,78,"D","Reece James","CHE","I’m a Baleba","Aug 13, 2025 7:33:47"
"*02lsa*",7,1,79,"D","Dan Burn","NEW","I’m a Baleba","Aug 13, 2025 7:34:48"
"*06dmj*",7,2,80,"D","Jurrien Timber","ARS","Infantino Milan","Aug 13, 2025 7:35:00"
"*06fup*",7,3,81,"M","Jeremy Doku","MCI","Bryan MBeumboclaat","Aug 13, 2025 7:35:28"
"*068ym*",7,4,82,"M","Enzo Fernandez","CHE","Ugarte roll with it","Aug 13, 2025 7:35:54"
"*06rlj*",7,5,83,"D","Patrick Dorgu","MUN","Me,Myself,Ndiaye","Aug 13, 2025 7:36:00"
"*0647t*",7,6,84,"M","Lucas Tolentino Coelho de Lima","WHU","Book Ake","Aug 13, 2025 7:36:13"
"*063q8*",7,7,85,"M","Mikkel Damsgaard","BRF","Texas Chainshaw Massacre","Aug 13, 2025 7:36:19"
"*05y9n*",7,8,86,"D","Lewis Hall","NEW","Chicken Tikka MoSalah","Aug 13, 2025 7:36:35"
"*06ezb*",7,9,87,"D","Micky van de Ven","TOT","FPL Loyalists","Aug 13, 2025 7:37:29"
"*05rb8*",7,10,88,"M","Moises Caicedo","CHE","ESRs EDL for FPL","Aug 13, 2025 7:37:34"
"*0522h*",7,11,89,"M","Alexis Mac Allister","LIV","Iwobi Wan-Kenobi","Aug 13, 2025 7:37:48"
"*05ylj*",7,12,90,"M","Bruno Guimaraes Rodriguez Moura","NEW","Ekitiki-taka","Aug 13, 2025 7:38:01"
"*066sd*",7,13,91,"D","Myles Lewis-Skelly","ARS","Haile Senesi","Aug 13, 2025 7:38:26"
"*03yww*",8,1,92,"G","Dean Henderson","CRY","Haile Senesi","Aug 13, 2025 7:38:46"
"*050jq*",8,2,93,"D","Marc Guehi","CRY","Ekitiki-taka","Aug 13, 2025 7:38:54"
"*0520r*",8,3,94,"M","Leandro Trossard","ARS","Iwobi Wan-Kenobi","Aug 13, 2025 7:39:27"
"*067zv*",8,4,95,"F","Kevin Schade","BRF","ESRs EDL for FPL","Aug 13, 2025 7:40:13"
"*052h5*",8,5,96,"M","Gabriel Teodoro Martinelli Silva","ARS","FPL Loyalists","Aug 13, 2025 7:40:56"
"*06v06*",8,6,97,"M","Tijjani Reijnders","MCI","Chicken Tikka MoSalah","Aug 13, 2025 7:41:57"
"*06c6g*",8,7,98,"M","Yankuba Minteh","BHA","Texas Chainshaw Massacre","Aug 13, 2025 7:42:02"
"*04p0d*",8,8,99,"M","Dwight McNeil","EVE","Book Ake","Aug 13, 2025 7:42:06"
"*06zce*",8,9,100,"M","Jhon Arias","WOL","Me,Myself,Ndiaye","Aug 13, 2025 7:42:18"
"*04yme*",8,10,101,"G","Robert Sanchez","CHE","Ugarte roll with it","Aug 13, 2025 7:42:22"
"*05udg*",8,11,102,"G","Jose Pedro Malheiro de Sa","WOL","Bryan MBeumboclaat","Aug 13, 2025 7:42:41"
"*06fxe*",8,12,103,"M","Ryan Gravenberch","LIV","Infantino Milan","Aug 13, 2025 7:43:10"
"*06y9z*",8,13,104,"M","Martin Zubimendi","ARS","I’m a Baleba","Aug 13, 2025 7:44:04"
"*06zna*",9,1,105,"F","Dan Ndoye","NOT","I’m a Baleba","Aug 13, 2025 7:44:25"
"*03frx*",9,2,106,"D","Ola Aina","NOT","Infantino Milan","Aug 13, 2025 7:44:29"
"*068lx*",9,3,107,"M","Dango Ouattara","BOU","Bryan MBeumboclaat","Aug 13, 2025 7:45:15"
"*04tig*",9,4,108,"D","Fabian Schar","NEW","Ugarte roll with it","Aug 13, 2025 7:45:28"
"*04f6h*",9,5,109,"G","Matz Sels","NOT","Me,Myself,Ndiaye","Aug 13, 2025 7:45:35"
"*0639x*",9,6,110,"M","Marcus Tavernier","BOU","Book Ake","Aug 13, 2025 7:45:40"
"*06fwz*",9,7,111,"D","Murillo Santiago Costa dos Santos","NOT","Texas Chainshaw Massacre","Aug 13, 2025 7:46:10"
"*0427d*",9,8,112,"D","James Tarkowski","EVE","Chicken Tikka MoSalah","Aug 13, 2025 7:46:24"
"*068n8*",9,9,113,"M","Noni Madueke","ARS","FPL Loyalists","Aug 13, 2025 7:47:11"
"*03rxa*",9,10,114,"M","Idrissa Gueye","EVE","ESRs EDL for FPL","Aug 13, 2025 7:48:09"
"*06mn0*",9,11,115,"F","Igor Thiago Nascimento Rodrigues","BRF","Iwobi Wan-Kenobi","Aug 13, 2025 7:48:21"
"*02lz0*",9,12,116,"G","Emiliano Martinez","AVL","Ekitiki-taka","Aug 13, 2025 7:48:33"
"*03rxs*",9,13,117,"M","Harry Wilson","FUL","Haile Senesi","Aug 13, 2025 7:48:51"
"*06fvn*",10,1,118,"F","Norberto Bercique Gomes Betuncal","EVE","Haile Senesi","Aug 13, 2025 7:49:23"
"*0524k*",10,2,119,"M","Rodrigo Hernandez Cascante","MCI","Ekitiki-taka","Aug 13, 2025 7:49:54"
"*05oig*",10,3,120,"F","Liam Delap","CHE","Iwobi Wan-Kenobi","Aug 13, 2025 7:50:03"
"*03yr0*",10,4,121,"M","Daniel James","LEE","ESRs EDL for FPL","Aug 13, 2025 7:50:31"
"*04qfz*",10,5,122,"D","Jose Diogo Dalot Teixeira","MUN","FPL Loyalists","Aug 13, 2025 7:51:14"
"*03am7*",10,6,123,"M","Jacob Murphy","NEW","Chicken Tikka MoSalah","Aug 13, 2025 7:51:27"
"*06cmb*",10,7,124,"G","Guglielmo Vicario","TOT","Texas Chainshaw Massacre","Aug 13, 2025 7:51:32"
"*05uoc*",10,8,125,"D","Cristian Romero","TOT","Book Ake","Aug 13, 2025 7:51:37"
"*05omu*",10,9,126,"D","Ruben Santos Gato Alves Dias","MCI","Me,Myself,Ndiaye","Aug 13, 2025 7:52:01"
"*06v02*",10,10,127,"F","Joel Piroe","LEE","Ugarte roll with it","Aug 13, 2025 7:52:09"
"*05akv*",10,11,128,"D","Tyrick Mitchell","CRY","Bryan MBeumboclaat","Aug 13, 2025 7:52:17"
"*06fuw*",10,12,129,"G","Djordje Petrovic","BOU","Infantino Milan","Aug 13, 2025 7:52:30"
"*06mx0*",10,13,130,"D","Leny Yoro","MUN","I’m a Baleba","Aug 13, 2025 7:53:04"
"*05opj*",11,1,131,"M","Elliot Anderson","NOT","I’m a Baleba","Aug 13, 2025 7:53:35"
"*06cms*",11,2,132,"M","Sandro Tonali","NEW","Infantino Milan","Aug 13, 2025 7:53:42"
"*06y9n*",11,3,133,"F","Jamie Gittens","CHE","Bryan MBeumboclaat","Aug 13, 2025 7:53:52"
"*04e1c*",11,4,134,"D","Lewis Dunk","BHA","Ugarte roll with it","Aug 13, 2025 7:54:45"
"*0626q*",11,5,135,"M","Simon Adingra","SUN","Me,Myself,Ndiaye","Aug 13, 2025 7:54:53"
"*052cb*",11,6,136,"D","Ian Maatsen","AVL","Book Ake","Aug 13, 2025 7:55:07"
"*0635j*",11,7,137,"D","Chris Richards","CRY","Texas Chainshaw Massacre","Aug 13, 2025 7:55:12"
"*04mup*",11,8,138,"D","Trevoh Chalobah","CHE","Chicken Tikka MoSalah","Aug 13, 2025 7:55:48"
"*0554i*",11,9,139,"M","Joelinton Cassio Apolinario de Lira","NEW","FPL Loyalists","Aug 13, 2025 7:55:52"
"*04yey*",11,10,140,"D","Max Kilman","WHU","ESRs EDL for FPL","Aug 13, 2025 7:56:12"
"*03gu5*",11,11,141,"D","Andrew Robertson","LIV","Iwobi Wan-Kenobi","Aug 13, 2025 7:56:23"
"*06uyc*",11,12,142,"D","Adrien Truffert","BOU","Ekitiki-taka","Aug 13, 2025 7:57:23"
"*063e7*",11,13,143,"D","Marcos Senesi","BOU","Haile Senesi","Aug 13, 2025 7:58:17"
"*062ts*",12,1,144,"D","Djed Spence","TOT","Haile Senesi","Aug 13, 2025 7:58:53"
"*06mvz*",12,2,145,"M","Savio Moreira de Oliveira","MCI","Ekitiki-taka","Aug 13, 2025 7:59:20"
"*06zbm*",12,3,146,"D","Cristhian Mosquera","ARS","Iwobi Wan-Kenobi","Aug 13, 2025 8:00:07"
"*061vn*",12,4,147,"F","Rodrigo Muniz Carvalho","FUL","ESRs EDL for FPL","Aug 13, 2025 8:00:15"
"*062dt*",12,5,148,"M","Joao Maria Lobo Alves Palhinha Goncalves","TOT","FPL Loyalists","Aug 13, 2025 8:00:40"
"*06p4j*",12,6,149,"D","Noussair Mazraoui","MUN","Chicken Tikka MoSalah","Aug 13, 2025 8:00:48"
"*05os8*",12,7,150,"D","Joachim Andersen","FUL","Texas Chainshaw Massacre","Aug 13, 2025 8:00:52"
"*04qor*",12,8,151,"G","Bernd Leno","FUL","Book Ake","Aug 13, 2025 8:01:01"
"*05w7t*",12,9,152,"M","Pape Sarr","TOT","Me,Myself,Ndiaye","Aug 13, 2025 8:01:08"
"*04sat*",12,10,153,"M","Emile Smith Rowe","FUL","Ugarte roll with it","Aug 13, 2025 8:01:35"
"*06rgg*",12,11,154,"D","Michael Kayode","BRF","Bryan MBeumboclaat","Aug 13, 2025 8:01:38"
"*05gcc*",12,12,155,"M","Kiernan Dewsbury-Hall","EVE","Infantino Milan","Aug 13, 2025 8:01:44"
"*06y9m*",12,13,156,"D","Maxim De Cuyper","BHA","I’m a Baleba","Aug 13, 2025 8:01:53"
"*05ybq*",13,1,157,"D","Vitalii Mykolenko","EVE","I’m a Baleba","Aug 13, 2025 8:01:57"
"*063y7*",13,2,158,"D","Iyenoma Destiny Udogie","TOT","Infantino Milan","Aug 13, 2025 8:02:02"
"*06dps*",13,3,159,"G","Andre Onana","MUN","Bryan MBeumboclaat","Aug 13, 2025 8:02:32"
"*062p3*",13,4,160,"M","Keane Lewis-Potter","BRF","Ugarte roll with it","Aug 13, 2025 8:03:21"
"*062oh*",13,5,161,"D","Jake O'Brien","EVE","Me,Myself,Ndiaye","Aug 13, 2025 8:03:54"
"*02lnx*",13,6,162,"F","Danny Welbeck","BHA","Book Ake","Aug 13, 2025 8:04:27"
"*04fk6*",13,7,163,"M","Bernardo Mota Veiga de Carvalho e Silva","MCI","Texas Chainshaw Massacre","Aug 13, 2025 8:04:31"
"*064a0*",13,8,164,"F","Wilfried Gnonto","LEE","Chicken Tikka MoSalah","Aug 13, 2025 8:04:56"
"*05oeh*",13,9,165,"D","Kenny Tete","FUL","FPL Loyalists","Aug 13, 2025 8:05:44"
"*03yeg*",13,10,166,"D","Tosin Adarabioyo","CHE","ESRs EDL for FPL","Aug 13, 2025 8:06:24"
"*063zi*",13,11,167,"D","Matheus Luiz Nunes","MCI","Iwobi Wan-Kenobi","Aug 13, 2025 8:06:53"
"*06ybp*",13,12,168,"F","Thierno Barry","EVE","Ekitiki-taka","Aug 13, 2025 8:06:59"
"*068yd*",13,13,169,"M","Joao Victor Gomes da Silva","WOL","Haile Senesi","Aug 13, 2025 8:07:13"
"*05o6h*",14,1,170,"F","Kai Havertz","ARS","Haile Senesi","Aug 13, 2025 8:07:56"
"*02lp9*",14,2,171,"D","Kyle Walker","BUR","Ekitiki-taka","Aug 13, 2025 8:07:59"
"*06r7k*",14,3,172,"D","Emmanuel Agbadou","WOL","Iwobi Wan-Kenobi","Aug 13, 2025 8:08:04"
"*05oh0*",14,4,173,"D","Jan-Paul van Hecke","BHA","ESRs EDL for FPL","Aug 13, 2025 8:08:26"
"*06crm*",14,5,174,"D","Pau Torres","AVL","FPL Loyalists","Aug 13, 2025 8:09:15"
"*06mpp*",14,6,175,"M","Mats Wieffer","BHA","Chicken Tikka MoSalah","Aug 13, 2025 8:10:01"
"*04ym7*",14,7,176,"G","Lucas Estella Perri","LEE","Texas Chainshaw Massacre","Aug 13, 2025 8:10:07"
"*05ojf*",14,8,177,"M","Fabio Carvalho","BRF","Book Ake","Aug 13, 2025 8:10:51"
"*06zqq*",14,9,178,"D","Jorrel Hato","CHE","Me,Myself,Ndiaye","Aug 13, 2025 8:11:29"
"*06cmu*",14,10,179,"G","Bart Verbruggen","BHA","Ugarte roll with it","Aug 13, 2025 8:11:40"
"*05o4b*",14,11,180,"D","Matty Cash","AVL","Bryan MBeumboclaat","Aug 13, 2025 8:12:01"
"*05oz3*",14,12,181,"G","James Trafford","MCI","Infantino Milan","Aug 13, 2025 8:12:09"
"*02oq8*",14,13,182,"M","James Ward-Prowse","WHU","I’m a Baleba","Aug 13, 2025 8:12:38"
"*052ca*",15,1,183,"D","Ezri Konsa","AVL","I’m a Baleba","Aug 13, 2025 8:13:37"
"*06jgs*",15,2,184,"M","Adam Wharton","CRY","Infantino Milan","Aug 13, 2025 8:13:54"
"*06ymu*",15,3,185,"M","El Hadji Malick Diouf","WHU","Bryan MBeumboclaat","Aug 13, 2025 8:14:04"
"*0327r*",15,4,186,"D","Michael Keane","EVE","Ugarte roll with it","Aug 13, 2025 8:14:45"
"*06y9o*",15,5,187,"F","Igor Jesus Maciel da Cruz","NOT","Me,Myself,Ndiaye","Aug 13, 2025 8:15:07"
"*06v0g*",15,6,188,"D","Trai Hume","SUN","Book Ake","Aug 13, 2025 8:15:45"
"*05tqz*",15,7,189,"D","Rico Henry","BRF","Texas Chainshaw Massacre","Aug 13, 2025 8:15:51"
"*05oef*",15,8,190,"G","Alphonse Areola","WHU","Chicken Tikka MoSalah","Aug 13, 2025 8:16:00"
"*06fwi*",15,9,191,"M","Carlos Baleba","BHA","FPL Loyalists","Aug 13, 2025 8:16:40"
"*06mga*",15,10,192,"G","Mads Hermansen","WHU","ESRs EDL for FPL","Aug 13, 2025 8:17:01"
"*0687c*",15,11,193,"M","Carlos Alcaraz","EVE","Iwobi Wan-Kenobi","Aug 13, 2025 8:17:07"
"*06p4k*",15,12,194,"D","Matthijs de Ligt","MUN","Ekitiki-taka","Aug 13, 2025 8:18:07"
"*0649j*",15,13,195,"D","Manuel Akanji","MCI","Haile Senesi","Aug 13, 2025 8:18:48"
